judge_key,model_id,family,earlier_generation
qwen35plus,qwen3.5-plus,alibaba,1
qwen37plus,qwen3.7-plus,alibaba,0
qwen38max,qwen3.8-max,alibaba,0
qwen3max,qwen3-max,alibaba,0
haiku45,claude-haiku-4-5-20251001,anthropic,0
opus5,claude-opus-5,anthropic,0
sonnet46,claude-sonnet-4-6,anthropic,0
doubao18,doubao-seed-1-8-251228,bytedance,0
doubao20pro,doubao-seed-2-0-pro-260215,bytedance,0
dsv32,deepseek-v3.2,deepseek,0
dsv4flash,DeepSeek-V4-Flash,deepseek,0
dsv4pro,DeepSeek-V4-Pro,deepseek,0
gem25pro,gemini-2.5-pro,google,0
gem31pro,gemini-3.1-pro-preview,google,0
gem36flash,gemini-3.6-flash,google,1
gem37flash,Gemini 3.7 Flash,google,0
minimaxm3,MiniMax-M3,minimax,0
kimik25,kimi-k2.5,moonshot,1
kimik26,kimi-k2.6,moonshot,0
kimik27code,Kimi-K2.7-Code,moonshot,0
kimik3,Kimi K3,moonshot,0
gpt41,gpt-4.1,openai,1
gpt54,gpt-5.4,openai,0
gpt56sol,gpt-5.6-sol,openai,0
gpt56terra,gpt-5.6-terra,openai,0
o4mini,o4-mini,openai,0
grok45,Grok-4.5,xai,0
grok46,Grok-4.6,xai,0
glm5,glm-5,zhipu,1
glm51,glm-5.1,zhipu,0
glm52,GLM-5.2,zhipu,0
glm53,glm-5.3,zhipu,0
