dataset_id,anchor,m,PR_mean,PR_sd_ddof0,replicates,seed
civil-comments-1000,h,2,1.9976282595568915,0.0019639221681159464,12,42
civil-comments-1000,h,3,2.9958876130207437,0.003043508489364861,12,42
civil-comments-1000,h,4,3.9875191196368487,0.005995474937884385,12,42
civil-comments-1000,h,5,4.973542344798722,0.012823625828131976,12,42
civil-comments-1000,h,6,5.969502464250895,0.010035608955760243,12,42
civil-comments-1000,h,7,6.946980962021811,0.014342668644679497,12,42
civil-comments-1000,h,8,7.936549522043051,0.01731543667811972,12,42
civil-comments-1000,h,9,8.922218361968826,0.01768465202440405,12,42
civil-comments-1000,h,10,9.88933223264699,0.03519362701709272,12,42
civil-comments-1000,h,11,10.879687082144983,0.02350651509891682,12,42
civil-comments-1000,h,12,11.85386340189089,0.029867048433679863,12,42
civil-comments-1000,h,16,15.721451224864984,0.038082493853938644,12,42
civil-comments-1000,h,24,23.365889743091916,0.051335664804993686,12,42
civil-comments-1000,h,32,30.884815510614036,0.06246766871557674,12,42
civil-comments-1000,h,48,45.55045632077785,0.13079212239485496,12,42
civil-comments-1000,h,64,59.59253313082542,0.1228186515232635,12,42
civil-comments-1000,h,96,86.46962224274894,0.1697730557832062,12,42
civil-comments-1000,h,128,111.60530407711077,0.1352318979227512,12,42
