dataset,anchor,m,PR_mean,PR_sd_ddof0,replicates,seed
mnli_m,uniform,2,1.8112471776478172,0.022847678576013362,12,42
mnli_m,uniform,3,2.4947404571155136,0.05349409889218807,12,42
mnli_m,uniform,4,3.031750628729952,0.05440844277145768,12,42
mnli_m,uniform,5,3.5151301753604955,0.029104008392386426,12,42
mnli_m,uniform,6,3.9318584327038715,0.059525345624511346,12,42
mnli_m,uniform,7,4.358603829135499,0.1103162891430264,12,42
mnli_m,uniform,8,4.677340274097871,0.07971939516183678,12,42
mnli_m,uniform,9,4.971834679262515,0.09442069406173696,12,42
mnli_m,uniform,10,5.176082611186138,0.09064201288995734,12,42
mnli_m,uniform,11,5.4284178944732,0.08180144630833477,12,42
mnli_m,uniform,12,5.677541862830282,0.10763365619098711,12,42
mnli_m,uniform,16,6.31427285802359,0.12519666527241616,12,42
mnli_m,uniform,24,7.137129171045679,0.12521608566183567,12,42
mnli_m,uniform,32,7.699667918927865,0.14055410970220455,12,42
mnli_m,uniform,48,8.311548471642782,0.08393236923389998,12,42
mnli_m,uniform,64,8.609743122409325,0.09698600038046615,12,42
mnli_m,uniform,96,8.942006655577126,0.09916421420419942,12,42
mnli_m,uniform,128,9.162571771857246,0.05373056521883316,12,42
mnli_m,mode_h,2,1.7831091660362979,0.02276264672794516,12,42
mnli_m,mode_h,3,2.4062247461406443,0.04365455124184662,12,42
mnli_m,mode_h,4,2.921106450368935,0.038751891134041594,12,42
mnli_m,mode_h,5,3.3687326786924157,0.05815008319395683,12,42
mnli_m,mode_h,6,3.7376699662016803,0.04105634150880709,12,42
mnli_m,mode_h,7,4.05744777136708,0.04378907485874876,12,42
mnli_m,mode_h,8,4.311378641957677,0.02981015487653903,12,42
mnli_m,mode_h,9,4.592944701724374,0.07341785395687131,12,42
mnli_m,mode_h,10,4.819421160365157,0.06806716601376675,12,42
mnli_m,mode_h,11,5.011918075391874,0.07055699699289171,12,42
mnli_m,mode_h,12,5.179438717462985,0.05391755141395624,12,42
mnli_m,mode_h,16,5.660782110314145,0.11934599964671215,12,42
mnli_m,mode_h,24,6.341548469182761,0.08229470665795026,12,42
mnli_m,mode_h,32,6.707093070198194,0.08083148214576938,12,42
mnli_m,mode_h,48,7.156625833306524,0.08746542490457553,12,42
mnli_m,mode_h,64,7.40536855445885,0.06046741448228723,12,42
mnli_m,mode_h,96,7.6455378118712325,0.07979958999638506,12,42
mnli_m,mode_h,128,7.850576726302795,0.06457866278438619,12,42
mnli_m,h,2,1.998199359103327,0.002393909856627485,12,42
mnli_m,h,3,2.9934657647341893,0.006422478699377262,12,42
mnli_m,h,4,3.9873989345807743,0.005574812306938862,12,42
mnli_m,h,5,4.982034368565276,0.006784348031656009,12,42
mnli_m,h,6,5.9756186339092245,0.005117295499647992,12,42
mnli_m,h,7,6.970158939556982,0.008154419378341327,12,42
mnli_m,h,8,7.961669325189653,0.011193549453774092,12,42
mnli_m,h,9,8.940226275317317,0.015937350223454244,12,42
mnli_m,h,10,9.93116236184569,0.014126932672398628,12,42
mnli_m,h,11,10.909826329808766,0.014097020538158206,12,42
mnli_m,h,12,11.89228163885492,0.0190437569960042,12,42
mnli_m,h,16,15.82050857585199,0.017543685822941177,12,42
mnli_m,h,24,23.58381590650335,0.04575397072505174,12,42
mnli_m,h,32,31.255063583766614,0.06851011489140159,12,42
mnli_m,h,48,46.29232106589884,0.06796037482677104,12,42
mnli_m,h,64,60.97365921729448,0.10214987289485393,12,42
mnli_m,h,96,89.34542950880297,0.0659372282073577,12,42
mnli_m,h,128,116.47679190475544,0.16836769751205607,12,42
snli,uniform,2,1.6028364492587375,0.016441497253221173,12,42
snli,uniform,3,2.001586383031392,0.026430909654964127,12,42
snli,uniform,4,2.3071193007385804,0.030221490040266013,12,42
snli,uniform,5,2.5442205754639753,0.06561840615142855,12,42
snli,uniform,6,2.7272229626079003,0.03300665634134684,12,42
snli,uniform,7,2.8539752959600633,0.043511989694741134,12,42
snli,uniform,8,3.002851558786462,0.06423648296800298,12,42
snli,uniform,9,3.0794951813092486,0.05079581194712779,12,42
snli,uniform,10,3.1494334512924476,0.04632270712798051,12,42
snli,uniform,11,3.2276088887153738,0.040503544034823064,12,42
snli,uniform,12,3.2831007294170202,0.046410648554138303,12,42
snli,uniform,16,3.456577850808477,0.048325049292952935,12,42
snli,uniform,24,3.643925124423595,0.05689100308752521,12,42
snli,uniform,32,3.7882384282815518,0.030111803036624998,12,42
snli,uniform,48,3.9129284176600554,0.03491559997558011,12,42
snli,uniform,64,3.9508363890758535,0.043153695795654014,12,42
snli,uniform,96,4.019884632772317,0.023825830780327902,12,42
snli,uniform,128,4.070423710990125,0.03503141893766662,12,42
snli,mode_h,2,1.8257659465790208,0.019508189323012147,12,42
snli,mode_h,3,2.509019337948519,0.034686450967840905,12,42
snli,mode_h,4,3.1019738760586737,0.059923475956418684,12,42
snli,mode_h,5,3.6154192101325546,0.11010021922452941,12,42
snli,mode_h,6,4.026895532369163,0.06740879944357485,12,42
snli,mode_h,7,4.451789471691533,0.07301723357553917,12,42
snli,mode_h,8,4.724278920201954,0.11658459733928431,12,42
snli,mode_h,9,5.028320932636158,0.09227730583352071,12,42
snli,mode_h,10,5.339038432722625,0.08503866313627464,12,42
snli,mode_h,11,5.5977583297392535,0.14512740275936198,12,42
snli,mode_h,12,5.862294660483193,0.09815818806468264,12,42
snli,mode_h,16,6.52057293591297,0.11481816383348299,12,42
snli,mode_h,24,7.416026953269244,0.13141782189042545,12,42
snli,mode_h,32,7.998696561755381,0.09492534185609906,12,42
snli,mode_h,48,8.599793845375174,0.1153938073068087,12,42
snli,mode_h,64,9.00146945675137,0.1709571013437752,12,42
snli,mode_h,96,9.38828201776762,0.0823636562620514,12,42
snli,mode_h,128,9.620537877290166,0.04630732477392497,12,42
snli,h,2,1.999118819711028,0.001532656592796607,12,42
snli,h,3,2.9952291808396585,0.0035028768757069794,12,42
snli,h,4,3.9916988067810837,0.005252065875030557,12,42
snli,h,5,4.978401783866903,0.011825323949265634,12,42
snli,h,6,5.964801495104074,0.015858606878378652,12,42
snli,h,7,6.960009668022391,0.013943706093917542,12,42
snli,h,8,7.9462831419996425,0.01633962116470956,12,42
snli,h,9,8.931776815665506,0.01356398394108492,12,42
snli,h,10,9.901000176834094,0.015124909442377635,12,42
snli,h,11,10.893706398887888,0.01829529606069161,12,42
snli,h,12,11.864059772146943,0.01677709271424661,12,42
snli,h,16,15.75944695822699,0.03006479289894617,12,42
snli,h,24,23.448267784544772,0.040779654702240924,12,42
