dataset_id,k,rule,judge_keys,acc,acc_int_sum_lut6,q_bar,PR,nu_H_closed_form,E,nu_MSE,omega_bar,in_joint_improvement_set
chaosnli-mnli-m-1000,5,S0,kimik25 kimik26 kimik3 o4mini qwen37plus,0.7325000000,4395,0.208173682372,2.72822304749,2.73190748092,0.2135254,2.12504273496,0.3876854,
chaosnli-mnli-m-1000,5,A,gpt56terra haiku45 kimik26 kimik3 o4mini,0.7405000000,4443,0.109416840829,3.47785595443,3.48459398804,0.1781494,2.54702289202,0.4099094,1
chaosnli-mnli-m-1000,5,D,gpt56terra kimik25 kimik26 kimik3 opus5,0.7425000000,4455,0.163792610913,3.02083692902,3.02560836296,0.1986334,2.28436204586,0.4018334,1
chaosnli-mnli-m-1000,5,E,gpt56terra haiku45 kimik26 kimik3 o4mini,0.7405000000,4443,0.109416840829,3.47785595443,3.48459398804,0.1781494,2.54702289202,0.4099094,1
chaosnli-mnli-m-1000,7,S0,glm53 kimik25 kimik26 kimik3 o4mini qwen37plus qwen3max,0.7215000000,4329,0.212067968825,3.08043299276,3.08544228182,0.206597563265,2.19630179964,0.3921894,
chaosnli-mnli-m-1000,7,A,dsv32 glm53 haiku45 kimik26 kimik3 o4mini qwen3max,0.7235000000,4341,0.136958809186,3.84245315183,3.85099538157,0.182184502041,2.49061031491,0.409286542857,1
chaosnli-mnli-m-1000,7,D,gpt56terra haiku45 kimik25 kimik26 kimik3 o4mini qwen37plus,0.7450000000,4470,0.152468971645,3.65570787656,3.66329990298,0.180266542857,2.51710934713,0.404837971429,1
chaosnli-mnli-m-1000,7,E,dsv32 glm53 haiku45 kimik26 kimik3 o4mini qwen37plus,0.7240000000,4344,0.13802582139,3.82899714433,3.83746907381,0.179055930612,2.53412773567,0.407586542857,1
chaosnli-snli-1000,5,S0,gem31pro glm51 opus5 qwen37plus qwen38max,0.8685000000,5211,0.251851752772,2.4907753995,2.49456548598,0.1367084,2.48707175272,0.2283084,
chaosnli-snli-1000,5,A,dsv32 glm51 haiku45 opus5 qwen37plus,0.8710000000,5226,0.0721320195431,3.88039662053,3.89182138317,0.1043324,3.25884959993,0.2889724,1
chaosnli-snli-1000,5,D,dsv32 gem31pro glm51 gpt54 qwen37plus,0.8835000000,5301,0.107329391048,3.49817292201,3.50710212925,0.1054524,3.22423766552,0.2751324,1
chaosnli-snli-1000,5,E,gem31pro glm51 gpt56terra kimik26 opus5,0.8705000000,5223,0.0991347511059,3.58027952256,3.5897194631,0.1042324,3.26197612259,0.2641524,1
chaosnli-snli-1000,7,S0,gem31pro gem36flash glm51 opus5 qwen35plus qwen37plus qwen38max,0.8590000000,5154,0.256989649223,2.75380449414,2.75873547403,0.131732726531,2.58101087675,0.229487828571,
chaosnli-snli-1000,7,A,dsv32 gem36flash glm51 haiku45 opus5 qwen35plus qwen37plus,0.8700000000,5220,0.111850775342,4.18884597766,4.20250386915,0.0989008897959,3.43782144631,0.272819257143,1
chaosnli-snli-1000,7,D,gem31pro glm51 glm52 gpt56terra opus5 qwen35plus qwen37plus,0.8860000000,5316,0.148560321262,3.70103674921,3.71125303544,0.107219257143,3.17110572355,0.249219257143,1
chaosnli-snli-1000,7,E,dsv32 gem31pro glm51 haiku45 opus5 qwen35plus qwen37plus,0.8700000000,5220,0.117805474091,4.10116317036,4.11416631684,0.098010277551,3.4690606791,0.271887828571,1
chaosnli-alphanli-1000,5,S0,gem31pro grok45 grok46 opus5 qwen38max,0.9380000000,5628,0.223069405183,2.64231841312,2.650743243,0.0600422,2.7682163545,0.1050022,
chaosnli-alphanli-1000,5,A,dsv32 gpt56terra grok46 opus5 qwen38max,0.9400000000,5640,0.0795945472638,3.79253847,3.81314565521,0.0539702,3.07965877466,0.1387702,1
chaosnli-alphanli-1000,5,D,dsv4flash gem31pro grok46 minimaxm3 opus5,0.9460000000,5676,0.132487041079,3.26808457739,3.28249242455,0.0542742,3.06240902676,0.1142742,1
chaosnli-alphanli-1000,5,E,gem25pro gem31pro grok46 o4mini opus5,0.9410000000,5646,0.105947391675,3.51175490883,3.52890844909,0.0517862,3.20953844847,0.1191462,1
chaosnli-alphanli-1000,7,S0,gem31pro gem36flash gem37flash grok45 grok46 opus5 qwen38max,0.9390000000,5634,0.238433489304,2.87994622928,2.89046218708,0.0588404040816,2.8247562639,0.106187342857,
chaosnli-alphanli-1000,7,A,dsv32 gem31pro gem37flash gpt56terra grok46 opus5 qwen38max,0.9400000000,5640,0.117324762878,4.10810519365,4.13296475872,0.0502028530612,3.31076402764,0.130284485714,1
chaosnli-alphanli-1000,7,D,dsv32 gem31pro gpt56terra grok45 grok46 opus5 qwen38max,0.9460000000,5676,0.126996658262,3.97280343724,3.99579164661,0.0506918326531,3.27882799459,0.129467342857,1
chaosnli-alphanli-1000,7,E,dsv32 gem31pro grok45 grok46 o4mini opus5 qwen38max,0.9410000000,5646,0.123864360764,4.0156353591,4.03920815939,0.0496118326531,3.3502048022,0.128958771429,1
civil-comments-1000,5,S0,doubao18 glm52 gpt55b opus5 qwen38max,0.6850000000,4110,0.475684739048,1.72251107504,1.72394857109,0.297114129787,1.18397221805,0.395994129787,
civil-comments-1000,5,A,glm52 gpt55b haiku45 kimik27code qwen38max,0.6880000000,4128,0.229331386505,2.60779918694,2.61264705054,0.231645785492,1.51858957638,0.412285785492,1
